end_date,approval_percentage,weighted_no,total_sample_size
2017-05-01,44.21133202843309,51.52535283815803,9707.0
2017-05-02,44.28652442448064,50.32197000080212,12467.0
2017-05-03,44.713935742971884,51.33413654618474,7470.0
2017-05-04,44.92303168993685,51.851454145182785,34522.0
2017-05-05,42.987526078840446,51.69723289777094,9107.0
2017-05-06,42.839413888299,50.67863665321725,9418.0
2017-05-07,43.67634506242906,51.30640181611805,8810.0
2017-05-08,42.94476730987515,52.28419977298524,8810.0
2017-05-09,42.765246264526844,51.87655150604791,12649.0
2017-05-10,42.17182694514574,52.438948817994024,8714.0
2017-05-11,43.65455536109368,53.9371561602219,30283.0
2017-05-12,41.22534782032596,53.2554127467868,7547.0
2017-05-13,40.542986981085726,53.67299189388357,8142.0
2017-05-14,41.279203920220084,53.839219394773046,11632.0
