politician/institution,date,answer,pct_estimate,lo,hi
Supreme Court,2024-02-07,Disapprove,52.39263153807511,46.65753714463549,58.127725931514725
Supreme Court,2024-02-06,Approve,40.07194652793889,35.056269572861645,45.08762348301614
Supreme Court,2024-02-06,Disapprove,53.13125552058655,47.341258292694754,58.921252748478345
Supreme Court,2024-02-05,Approve,40.07194652793889,35.056269572861645,45.08762348301614
Supreme Court,2024-02-05,Disapprove,53.13125552058655,47.341258292694754,58.921252748478345
Supreme Court,2024-02-04,Approve,40.07194652793889,35.056269572861645,45.08762348301614
Supreme Court,2024-02-04,Disapprove,53.13125552058655,47.341258292694754,58.921252748478345
Supreme Court,2024-02-03,Approve,40.07194652793889,35.056269572861645,45.08762348301614
Supreme Court,2024-02-03,Disapprove,53.13125552058655,47.341258292694754,58.921252748478345
Supreme Court,2024-02-02,Approve,40.07194652793889,35.056269572861645,45.08762348301614
Supreme Court,2024-02-02,Disapprove,53.131255520586556,47.34125829269476,58.92125274847835
Supreme Court,2024-02-01,Approve,40.07456623582028,35.0588892957515,45.09024317588906
Supreme Court,2024-02-01,Disapprove,53.13210923208089,47.342111971762314,58.92210649239947
Supreme Court,2024-01-31,Approve,39.63028015630392,34.61073679651039,44.64982351609745
Supreme Court,2024-01-31,Disapprove,53.26927961346753,47.46152563833641,59.07703358859865
Supreme Court,2024-01-30,Approve,39.630277036608135,34.61073377319319,44.64982030002308
Supreme Court,2024-01-30,Disapprove,53.2692282042767,47.46146053787623,59.07699587067717
Supreme Court,2024-01-29,Approve,39.69960664055938,34.65240779461126,44.746805486507505
Supreme Court,2024-01-29,Disapprove,51.10405052776815,45.44129124563159,56.766809809904714
Supreme Court,2024-01-28,Approve,39.69960664055938,34.65240779461126,44.746805486507505
Supreme Court,2024-01-28,Disapprove,51.10405052776815,45.44129124563159,56.766809809904714
Supreme Court,2024-01-27,Approve,39.69960664055938,34.65240779461126,44.746805486507505
Supreme Court,2024-01-27,Disapprove,51.10405052776815,45.44129124563159,56.766809809904714
Supreme Court,2024-01-26,Approve,39.69960664055938,34.65240779461126,44.746805486507505
Supreme Court,2024-01-26,Disapprove,51.10405052776815,45.44129124563159,56.766809809904714
Supreme Court,2024-01-25,Approve,39.69960664055938,34.65240779461126,44.746805486507505
