date,days_in_office,approval_rating,politician
2017-09-01,224,36.88786045314109,Donald Trump
2017-09-02,225,37.400651176557645,Donald Trump
2017-09-03,226,40.0657811260904,Donald Trump
2017-09-04,227,39.87605181986428,Donald Trump
2017-09-05,228,40.88886000742666,Donald Trump
2017-09-06,229,40.87018472106191,Donald Trump
2017-09-07,230,41.04035761506013,Donald Trump
2017-09-08,231,41.668004377964245,Donald Trump
2017-09-09,232,40.10448553329909,Donald Trump
2017-09-10,233,39.839482931726906,Donald Trump
2017-09-11,234,39.72218295043339,Donald Trump
2017-09-12,235,38.10377937494953,Donald Trump
2017-09-13,236,38.46560727557207,Donald Trump
2017-09-14,237,42.42292915727373,Donald Trump
2017-09-15,238,39.85024013119363,Donald Trump
2017-09-16,239,39.63016698603887,Donald Trump
2017-09-17,240,41.33869102488896,Donald Trump
2017-09-18,241,39.87919387755102,Donald Trump
2017-09-19,242,40.399846650524616,Donald Trump
2017-09-20,243,40.22035916134914,Donald Trump
2017-09-21,244,43.866689068264,Donald Trump
2017-09-22,245,39.14856611378081,Donald Trump
2017-09-23,246,39.43346718146719,Donald Trump
2017-09-24,247,40.64595090016367,Donald Trump
2017-09-25,248,39.80555555555556,Donald Trump
2017-09-26,249,38.550845327850126,Donald Trump
2017-09-27,250,38.67217669148165,Donald Trump
2017-09-28,251,40.45362562501365,Donald Trump
2017-09-29,252,39.08523822638392,Donald Trump
2017-09-30,253,38.64418111398008,Donald Trump
2017-10-01,254,41.08009991673605,Donald Trump
2017-10-02,255,39.373805096795365,Donald Trump
2017-10-03,256,40.13563626178695,Donald Trump
2017-10-04,257,41.49940408266768,Donald Trump
2017-10-05,258,39.153902544200086,Donald Trump
2017-10-06,259,39.30583212925259,Donald Trump
2017-10-07,260,37.2494942903752,Donald Trump
2017-10-08,261,38.24350877192983,Donald Trump
2017-10-09,262,39.56103994606438,Donald Trump
2017-10-10,263,38.69946275358833,Donald Trump
2017-10-11,264,41.19919406970208,Donald Trump
2017-10-12,265,38.50643558767077,Donald Trump
2017-10-13,266,38.45891424075531,Donald Trump
2017-10-14,267,39.08993702081052,Donald Trump
2017-10-15,268,38.94802156709279,Donald Trump
2017-10-16,269,40.00228567598364,Donald Trump
2017-10-17,270,38.96921229106196,Donald Trump
2017-10-18,271,39.194639811462864,Donald Trump
2017-10-19,272,38.665178658835046,Donald Trump
2017-10-20,273,37.391303273625695,Donald Trump
2017-10-21,274,37.38848232848233,Donald Trump
2017-10-22,275,37.58712686567164,Donald Trump
2017-10-23,276,39.0648181681002,Donald Trump
2017-10-24,277,37.67203769504094,Donald Trump
2017-10-25,278,39.189667092507705,Donald Trump
2017-10-26,279,38.53726849344741,Donald Trump
2017-10-27,280,37.50707040121121,Donald Trump
2017-10-28,281,37.93464805825243,Donald Trump
2017-10-29,282,37.84099930763905,Donald Trump
2017-10-30,283,39.41357653031108,Donald Trump
2017-10-31,284,39.1572233327276,Donald Trump
2017-11-01,285,40.357858631028,Donald Trump
2017-11-02,286,39.05848096494535,Donald Trump
2017-11-03,287,37.34059624108879,Donald Trump
2017-11-04,288,36.97525742426504,Donald Trump
2017-11-05,289,38.5004791375524,Donald Trump
2017-11-06,290,39.92676563202879,Donald Trump
2017-11-07,291,38.50466017582002,Donald Trump
2017-11-08,292,40.67544291606473,Donald Trump
2017-11-09,293,38.91468209276134,Donald Trump
2017-11-10,294,37.65935036266162,Donald Trump
2017-11-11,295,39.54368266405485,Donald Trump
2017-11-12,296,40.351980651065496,Donald Trump
2017-11-13,297,39.54128905610993,Donald Trump
2017-11-14,298,38.97344164974223,Donald Trump
2017-11-15,299,41.301385964340426,Donald Trump
2017-11-16,300,39.65404027529952,Donald Trump
2017-11-17,301,39.32347066167291,Donald Trump
2017-11-18,302,38.85525727069352,Donald Trump
2017-11-19,303,41.39383864572213,Donald Trump
2017-11-20,304,37.65789938217122,Donald Trump
2017-11-21,305,38.36587023235423,Donald Trump
2017-11-22,306,40.557733451298965,Donald Trump
2017-11-23,307,39.011995731056565,Donald Trump
2017-11-24,308,38.3859334337762,Donald Trump
2017-11-25,309,40.88456723245455,Donald Trump
2017-11-26,310,39.666301886792446,Donald Trump
2017-11-27,311,39.03874851013111,Donald Trump
2017-11-28,312,39.59361135758651,Donald Trump
2017-11-29,313,39.057603652386256,Donald Trump
2017-11-30,314,38.84203370036703,Donald Trump
2017-12-01,315,38.29237498177577,Donald Trump
2017-12-02,316,37.9150766343447,Donald Trump
2017-12-03,317,40.31849616368287,Donald Trump
2017-12-04,318,37.79625493212065,Donald Trump
2017-12-05,319,38.72039109266502,Donald Trump
2017-12-06,320,39.5420939271656,Donald Trump
2017-12-07,321,38.36302951214616,Donald Trump
2017-12-08,322,35.477474781066405,Donald Trump
2017-12-09,323,37.19780201619567,Donald Trump
2017-12-10,324,38.37410642300456,Donald Trump
2017-12-11,325,38.9671972711768,Donald Trump
2017-12-12,326,37.91711435752435,Donald Trump
2017-12-13,327,39.404365475773865,Donald Trump
2017-12-14,328,37.65384700298046,Donald Trump
2017-12-15,329,37.496240769747146,Donald Trump
2017-12-16,330,36.76344819189091,Donald Trump
2017-12-17,331,36.641310687939615,Donald Trump
2017-12-18,332,39.05056759545924,Donald Trump
2017-12-19,333,38.49312882421035,Donald Trump
2017-12-20,334,39.05099390545215,Donald Trump
2017-12-21,335,39.86773997107407,Donald Trump
2017-12-22,336,38.39796665311102,Donald Trump
2017-12-23,337,38.33187037910964,Donald Trump
2017-12-24,338,40.67679834905661,Donald Trump
2017-12-25,339,39.5306508355321,Donald Trump
2017-12-26,340,39.65678177676537,Donald Trump
2017-12-27,341,38.78262592367829,Donald Trump
2017-12-28,342,39.964226790624586,Donald Trump
2017-12-29,343,39.07161357546889,Donald Trump
2017-12-30,344,40.51606672519754,Donald Trump
2017-12-31,345,41.265348253907,Donald Trump
2018-01-01,346,38.34466277217207,Donald Trump
2018-01-02,347,41.60250376248461,Donald Trump
2018-01-03,348,43.82593381185727,Donald Trump
2018-01-04,349,41.22053248136315,Donald Trump
2018-01-05,350,43.34546944629411,Donald Trump
2018-01-06,351,42.108999383603866,Donald Trump
2018-01-07,352,40.9765671448882,Donald Trump
